"id","is_active","created_date","modified_date","name","status","description","type","parent_id"
"1","1","2024-04-05","2024-04-05",,"1","TCT Viễn thông Quân đội (mô  hình TCT)","1","0"
"2","1","2024-04-05","2024-04-05",,"1","Khối Đơn vị sự nghiệp (mô hình TCT)","1","1"
"3","1","2024-04-05","2024-04-05",,"1","Trung tâm Đào tạo Viettel (mô hình TCT)","1","2"
"4","1","2024-04-05","2024-04-05",,"1","Trung tâm đào tạo (mô hình TCT)","1","3"
"5","1","2024-04-05","2024-04-05",,"1","Phòng kế hoạch","1","4"
"6","1","2024-04-05","2024-04-05",,"1","Phụ trách phòng","1","5"
"7","1","2024-04-05","2024-04-05",,"1","TCT Viễn thông Quân đội (mô hình TCT)","1","1"
"8","1","2024-04-05","2024-04-05",,"1","Tập đoàn Công nghiệp - Viễn thông Quân đội","1","0"
"9","1","2024-04-05","2024-04-05",,"1","Ban Kiểm soát","1","8"
"10","1","2024-04-05","2024-04-05",,"1","Kiểm soát viên","1","9"
"11","1","2024-04-05","2024-04-05",,"1","Lãnh đạo ban","1","9"
"12","1","2024-04-05","2024-04-05",,"1","Công ty con do Tập đoàn sở hữu 100% VĐL","1","8"
"13","1","2024-04-05","2024-04-05",,"1","Công ty TNHH một thành viên Đầu tư Công nghệ Viettel","1","12"
"14","1","2024-04-05","2024-04-05",,"1","Ban Giám đốc","1","13"
"15","1","2024-04-05","2024-04-05",,"1","Thủ trưởng đơn vị","1","14"
"16","1","2024-04-05","2024-04-05",,"1","BU Dự án đặc biệt","1","13"
"17","1","2024-04-05","2024-04-05",,"1","Dự án BCNTT","1","16"
"18","1","2024-04-05","2024-04-05",,"1","Dự án IDC","1","16"
"19","1","2024-04-05","2024-04-05",,"1","Dự án TTCNTT - VTT","1","16"
"20","1","2024-04-05","2024-04-05",,"1","Dự án TTSP - VTT","1","16"
"21","1","2024-04-05","2024-04-05",,"1","Dự án VCS - An ninh mạng","1","16"
"22","1","2024-04-05","2024-04-05",,"1","Dự án VDS - Giải pháp số","1","16"
"23","1","2024-04-05","2024-04-05",,"1","Dự án VTCC - Không gian mạng","1","16"
"24","1","2024-04-05","2024-04-05",,"1","Dự án VTM - Media","1","16"
"25","1","2024-04-05","2024-04-05",,"1","Dự án VTS","1","16"
"26","1","2024-04-05","2024-04-05",,"1","BU01 - Quản trị doanh nghiệp","1","13"
"27","1","2024-04-05","2024-04-05",,"1","Ban Giám đốc BU","1","26"
"28","1","2024-04-05","2024-04-05",,"1","Trợ lý nghiệp vụ","1","26"
"29","1","2024-04-05","2024-04-05",,"1","BU02 - Phân phối và bán lẻ","1","13"
"30","1","2024-04-05","2024-04-05",,"1","Ban Giám đốc BU","1","29"
"31","1","2024-04-05","2024-04-05",,"1","Dự án VHT","1","29"
"32","1","2024-04-05","2024-04-05",,"1","Trợ lý nghiệp vụ","1","29"
"33","1","2024-04-05","2024-04-05",,"1","BU03 - Dịch vụ ngân hàng và tài chính (BSFI)","1","13"
"34","1","2024-04-05","2024-04-05",,"1","Ban Giám đốc BU","1","33"
"35","1","2024-04-05","2024-04-05",,"1","Trợ lý nghiệp vụ","1","33"
"36","1","2024-04-05","2024-04-05",,"1","BU05 - Viễn thông","1","13"
"37","1","2024-04-05","2024-04-05",,"1","Ban Giám đốc BU","1","36"
"38","1","2024-04-05","2024-04-05",,"1","Trợ lý nghiệp vụ","1","36"
"39","1","2024-04-05","2024-04-05",,"1","BU06 - Kinh doanh quốc tế","1","13"
"40","1","2024-04-05","2024-04-05",,"1","Ban Giám đốc BU","1","39"
"41","1","2024-04-05","2024-04-05",,"1","Trợ lý nghiệp vụ","1","39"
"42","1","2024-04-05","2024-04-05",,"1","Chủ tịch","1","13"
"43","1","2024-04-05","2024-04-05",,"1","Chủ tịch Công ty","1","42"
"44","1","2024-04-05","2024-04-05",,"1","Phòng Chiến lược Kinh doanh","1","13"
"45","1","2024-04-05","2024-04-05",,"1","Bộ phận Chiến lược kinh doanh","1","44"
"46","1","2024-04-05","2024-04-05",,"1","Bộ phận Marketing và truyền thông","1","44"
"47","1","2024-04-05","2024-04-05",,"1","Bộ phận Quản lý trải nghiệm khách hàng","1","44"
"48","1","2024-04-05","2024-04-05",,"1","Lãnh đạo phòng","1","44"
"49","1","2024-04-05","2024-04-05",,"1","Phòng Đào tạo và Phát triển nguồn lực","1","13"
"50","1","2024-04-05","2024-04-05",,"1","Bộ phận Đào tạo","1","49"
"51","1","2024-04-05","2024-04-05",,"1","Bộ phận Phát triển","1","49"
"52","1","2024-04-05","2024-04-05",,"1","Bộ phận Số hóa & Quản lý tài nguyên","1","49"
"53","1","2024-04-05","2024-04-05",,"1","Lãnh đạo phòng","1","49"
"54","1","2024-04-05","2024-04-05",,"1","Phòng Đầu tư","1","13"
"55","1","2024-04-05","2024-04-05",,"1","Bộ phận Đầu tư mua sắm","1","54"
"56","1","2024-04-05","2024-04-05",,"1","Bộ phận Pháp chế","1","54"
"57","1","2024-04-05","2024-04-05",,"1","Bộ phận Quản lý tài sản","1","54"
"58","1","2024-04-05","2024-04-05",,"1","Lãnh đạo phòng","1","54"
"59","1","2024-04-05","2024-04-05",,"1","Phòng Kỹ thuật Công nghệ","1","13"
"60","1","2024-04-05","2024-04-05",,"1","Bộ phận Công nghệ","1","59"
"61","1","2024-04-05","2024-04-05",,"1","Bộ phận Hệ thống","1","59"
"62","1","2024-04-05","2024-04-05",,"1","Lãnh đạo phòng","1","59"
"63","1","2024-04-05","2024-04-05",,"1","Phòng Pháp chế","1","13"
"64","1","2024-04-05","2024-04-05",,"1","Lãnh đạo phòng","1","63"
"65","1","2024-04-05","2024-04-05",,"1","Trợ lý nghiệp vụ","1","63"
"66","1","2024-04-05","2024-04-05",,"1","Phòng Quản lý chất lượng","1","13"
"67","1","2024-04-05","2024-04-05",,"1","Bộ phận Cải tiến quy trình","1","66"
"68","1","2024-04-05","2024-04-05",,"1","Bộ phận Quản lý chất lượng sản phẩm","1","66"
"69","1","2024-04-05","2024-04-05",,"1","Lãnh đạo phòng","1","66"
"70","1","2024-04-05","2024-04-05",,"1","Phòng Quản lý dự án (PMO)","1","13"
"71","1","2024-04-05","2024-04-05",,"1","Lãnh đạo phòng","1","70"
"72","1","2024-04-05","2024-04-05",,"1","Trợ lý nghiệp vụ","1","70"
"73","1","2024-04-05","2024-04-05",,"1","Phòng Tài chính","1","13"
"74","1","2024-04-05","2024-04-05",,"1","Bộ phận Giám sát và Đầu tư","1","73"
"75","1","2024-04-05","2024-04-05",,"1","Bộ phận Kế hoạch và Ngân sách","1","73"
"76","1","2024-04-05","2024-04-05",,"1","Bộ phận Kế toán tổng hợp và thuế","1","73"
"77","1","2024-04-05","2024-04-05",,"1","Bộ phận Kế toán và ngân quỹ","1","73"
"78","1","2024-04-05","2024-04-05",,"1","Lãnh đạo phòng","1","73"
"79","1","2024-04-05","2024-04-05",,"1","Phòng Tổ chức Chính trị","1","13"
"80","1","2024-04-05","2024-04-05",,"1","Bộ phận Chính trị","1","79"
"81","1","2024-04-05","2024-04-05",,"1","Bộ phận Tiền lương, chính sách","1","79"
"82","1","2024-04-05","2024-04-05",,"1","Bộ phận Tổ chức biên chế","1","79"
"83","1","2024-04-05","2024-04-05",,"1","Bộ phận Tuyển dụng, đảm bảo nguồn lực","1","79"
"84","1","2024-04-05","2024-04-05",,"1","Lãnh đạo phòng","1","79"
"85","1","2024-04-05","2024-04-05",,"1","Văn phòng","1","13"
"86","1","2024-04-05","2024-04-05",,"1","Bộ phận Hành chính","1","85"
"87","1","2024-04-05","2024-04-05",,"1","Bộ phận Kế hoạch tổngh hợp","1","85"
"88","1","2024-04-05","2024-04-05",,"1","Lãnh đạo phòng","1","85"
"89","1","2024-04-05","2024-04-05",,"1","Công ty TNHH nhà nước một thành viên Thương mại và xuất nhập khẩu Viettel","1","12"
"90","1","2024-04-05","2024-04-05",,"1","Chi nhánh phía Nam - Công ty TM XNK","1","89"
"91","1","2024-04-05","2024-04-05",,"1","Ban Giám đốc Công nghệ","1","90"
"92","1","2024-04-05","2024-04-05",,"1","Phòng Hành chính","1","90"
"93","1","2024-04-05","2024-04-05",,"1","Chủ tịch Công ty","1","89"
"94","1","2024-04-05","2024-04-05",,"1","Khối cơ quan Công ty TM XNK","1","89"
"95","1","2024-04-05","2024-04-05",,"1","Ban Giám đốc công ty","1","94"
"96","1","2024-04-05","2024-04-05",,"1","Phòng Chiến lược kinh doanh","1","94"
"97","1","2024-04-05","2024-04-05",,"1","Phòng Chính trị","1","94"
"98","1","2024-04-05","2024-04-05",,"1","Phòng Công nghệ thông tin","1","94"
"99","1","2024-04-05","2024-04-05",,"1","Phòng Hành chính Tổng hợp","1","94"
"100","1","2024-04-05","2024-04-05",,"1","Phòng Pháp chế","1","94"
"101","1","2024-04-05","2024-04-05",,"1","Phòng Tài chính","1","94"
"102","1","2024-04-05","2024-04-05",,"1","Phòng Tổ chức lao động","1","94"
"103","1","2024-04-05","2024-04-05",,"1","Kiểm soát viên","1","89"
"104","1","2024-04-05","2024-04-05",,"1","Bộ phận Kiểm soát viên chuyên ngành","1","103"
"105","1","2024-04-05","2024-04-05",,"1","Bộ phận Kiểm soát viên tài chính","1","103"
"106","1","2024-04-05","2024-04-05",,"1","Nhà máy in Viettel - Công ty TM XNK","1","89"
"107","1","2024-04-05","2024-04-05",,"1","Ban Giám đốc","1","106"
"108","1","2024-04-05","2024-04-05",,"1","Nhà máy in Hà Nội","1","106"
"109","1","2024-04-05","2024-04-05",,"1","Nhà máy in Hồ Chí Minh","1","106"
"110","1","2024-04-05","2024-04-05",,"1","Phòng Kế hhoachjKinh doanh","1","106"
"111","1","2024-04-05","2024-04-05",,"1","Phòng Tài chính","1","106"
"112","1","2024-04-05","2024-04-05",,"1","Phòng Tổng hợp","1","106"
"113","1","2024-04-05","2024-04-05",,"1","Trung tâm Bán lẻ Viettel - Công ty TM XNK","1","89"
"114","1","2024-04-05","2024-04-05",,"1","Ban Chính trị","1","113"
"115","1","2024-04-05","2024-04-05",,"1","Ban Công nghệ thông tin","1","113"
"116","1","2024-04-05","2024-04-05",,"1","Ban Giám đốc trung tâm","1","113"
"117","1","2024-04-05","2024-04-05",,"1","Ban Kiểm soát Chính sách Kinh doanh","1","113"
"118","1","2024-04-05","2024-04-05",,"1","Ban Kiểm soát nội bộ","1","113"
"119","1","2024-04-05","2024-04-05",,"1","Ban Trải nghiệm khách hàng","1","113"
"120","1","2024-04-05","2024-04-05",,"1","Hệ thống Cửa hàng","1","113"
"121","1","2024-04-05","2024-04-05",,"1","Hệ thống siêu thị","1","113"
"122","1","2024-04-05","2024-04-05",,"1","Nhóm chờ sắp xếp","1","113"
"123","1","2024-04-05","2024-04-05",,"1","Nhóm chờ giải quyết thôi việc","1","122"
"124","1","2024-04-05","2024-04-05",,"1","Phòng Chất lượng dịch vụ","1","113"
"125","1","2024-04-05","2024-04-05",,"1","Phòng Chính trị","1","113"
"126","1","2024-04-05","2024-04-05",,"1","Phòng Công nghệ thông tin","1","113"
"127","1","2024-04-05","2024-04-05",,"1","Bộ phận Quản trị dự án và phát triển","1","126"
"128","1","2024-04-05","2024-04-05",,"1","Bộ phận Quản trị dữ liệu","1","126"
"129","1","2024-04-05","2024-04-05",,"1","Bộ phận Vận hành khai thác","1","126"
"130","1","2024-04-05","2024-04-05",,"1","Lãnh đạo phòng","1","126"
"131","1","2024-04-05","2024-04-05",,"1","Trợ lý nghiệp vụ","1","126"
"132","1","2024-04-05","2024-04-05",,"1","Phòng Điều hành Siêu thị","1","113"
"133","1","2024-04-05","2024-04-05",,"1","Bộ phận An toàn thông tin","1","132"
"134","1","2024-04-05","2024-04-05",,"1","Bộ phận Điều hành siêu thị","1","132"
"135","1","2024-04-05","2024-04-05",,"1","Bộ phận Giám sát Camera","1","132"
"136","1","2024-04-05","2024-04-05",,"1","Bộ phận Hạ tầng Công nghệ thông tin","1","132"
"137","1","2024-04-05","2024-04-05",,"1","Bộ phận Kiểm soát nội bộ","1","132"
"138","1","2024-04-05","2024-04-05",,"1","Lãnh đạo phòng","1","132"
"139","1","2024-04-05","2024-04-05",,"1","Quản lý vùng","1","132"
"140","1","2024-04-05","2024-04-05",,"1","Phòng Kế hoạch Tổng hợp","1","113"
"141","1","2024-04-05","2024-04-05",,"1","Phòng Kiểm soát chính sách kinh doanh","1","113"
"142","1","2024-04-05","2024-04-05",,"1","Phòng Kiểm soát nội bộ","1","113"
"143","1","2024-04-05","2024-04-05",,"1","Phòng Kinh doanh dịch vụ","1","113"
"144","1","2024-04-05","2024-04-05",,"1","Phòng Kinh doanh thiết bị","1","113"
"145","1","2024-04-05","2024-04-05",,"1","Phòng Marketing","1","113"
"146","1","2024-04-05","2024-04-05",,"1","Phòng Phát triển Kênh","1","113"
"147","1","2024-04-05","2024-04-05",,"1","Phòng Tài chính Kế toán","1","113"
"148","1","2024-04-05","2024-04-05",,"1","Phòng Thương mại điện tử","1","113"
"149","1","2024-04-05","2024-04-05",,"1","Phòng Tổ chức lao động","1","113"
"150","1","2024-04-05","2024-04-05",,"1","Phòng Trải nghiệm khách hàng","1","113"
"151","1","2024-04-05","2024-04-05",,"1","Trung tâm Dịch vụ Công nghệ thông tin - Công ty TM XNK","1","89"
"152","1","2024-04-05","2024-04-05",,"1","Ban cung ứng nhân sự","1","151"
"153","1","2024-04-05","2024-04-05",,"1","Ban Giám đốc trung tâm","1","151"
"154","1","2024-04-05","2024-04-05",,"1","Ban nhân sự dự án","1","151"
"155","1","2024-04-05","2024-04-05",,"1","BU01 Quản trị doanh nghiệp","1","151"
"156","1","2024-04-05","2024-04-05",,"1","BU02 Phân phối và Bán lẻ","1","151"
"157","1","2024-04-05","2024-04-05",,"1","BU03 BF SI","1","151"
"158","1","2024-04-05","2024-04-05",,"1","BU05 Viễn thông","1","151"
"159","1","2024-04-05","2024-04-05",,"1","BU06 Y tế","1","151"
"160","1","2024-04-05","2024-04-05",,"1","Dự án sản xuất 01 (DU01)","1","151"
"161","1","2024-04-05","2024-04-05",,"1","Dự án sản xuất 02 (DU02)","1","151"
"162","1","2024-04-05","2024-04-05",,"1","Dự án sản xuất 03 (DU03)","1","151"
"163","1","2024-04-05","2024-04-05",,"1","Phòng Chiến lược","1","151"
"164","1","2024-04-05","2024-04-05",,"1","Phòng Đào tạo và Phát triển nguồn lực","1","151"
"165","1","2024-04-05","2024-04-05",,"1","Phòng Kế hoạch Tổng hợp","1","151"
"166","1","2024-04-05","2024-04-05",,"1","Phòng Kinh doanh","1","151"
